Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
08.11.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
07.11.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
06.11.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
05.11.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
04.11.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
01.11.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
31.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
30.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
29.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
28.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
25.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
24.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",133.0,787.227,787.227
22.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",132.0,781.308,781.308
21.10.2024,"5.919,00","5.920,00","5.919,00","5.919,22","0,00",276.0,1.633.704,1.633.704
18.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",109.0,645.171,645.171
17.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,04",132.0,781.308,781.308
16.10.2024,"5.919,00","5.919,00","5.850,00","5.916,49","-0,04",3.208,18.980.097,18.980.097
15.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
14.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
10.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
09.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
08.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
07.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
04.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
03.10.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
02.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",192.0,1.136.448,1.136.448
01.10.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,01",454.0,2.687.226,2.687.226
30.9.2024,"5.919,00","5.919,00","5.910,00","5.918,65","0,12",1.422,8.416.324,8.416.324
27.9.2024,"5.919,00",,,"5.911,35","0,00",0.0,0,0
26.9.2024,"5.919,00",,,"5.911,35","0,00",0.0,0,0
25.9.2024,"5.919,00","5.919,00","5.750,00","5.911,35","2,81",2.07,12.236.487,12.236.487
24.9.2024,"5.750,00","5.750,00","5.750,00","5.750,00","-2,85",20.0,115.000,115.000
23.9.2024,"5.919,00",,,"5.918,95","0,00",0.0,0,0
20.9.2024,"5.919,00","5.919,00","5.918,00","5.918,95","0,90",4.032,23.865.195,23.865.195
19.9.2024,"5.866,00","5.866,00","5.866,00","5.866,00","9,99",33.0,193.578,193.578
18.9.2024,"5.333,00","5.333,00","5.333,00","5.333,00","-9,90",5.0,26.665,26.665
17.9.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
16.9.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
13.9.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
12.9.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
11.9.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
10.9.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
06.9.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",144.0,852.336,852.336
05.9.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",10.0,59.190,59.190
04.9.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",15.0,88.785,88.785
03.9.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",111.0,657.009,657.009
02.9.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",35.0,207.165,207.165
30.8.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",120.0,710.280,710.280
29.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
27.8.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",595.0,3.521.805,3.521.805
26.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
23.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
22.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
21.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
20.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
19.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
16.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
15.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
14.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
13.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
12.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
09.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
08.8.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",1.035,6.126.165,6.126.165
07.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
06.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
05.8.2024,"5.919,00",,,"5.919,00","0,00",0.0,0,0
01.8.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",234.0,1.385.046,1.385.046
31.7.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",514.0,3.042.366,3.042.366
30.7.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",108.0,639.252,639.252
29.7.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,00",30.0,177.570,177.570
26.7.2024,"5.919,00","5.919,00","5.919,00","5.919,00","0,01",274.0,1.621.806,1.621.806
25.7.2024,"5.919,00","5.919,00","5.900,00","5.918,69","1,13",14.572,86.247.158,86.247.158
24.7.2024,"5.860,00","5.860,00","5.169,00","5.852,37","9,84",5.02,29.378.885,29.378.885
23.7.2024,"5.328,00","5.328,00","5.328,00","5.328,00","-9,98",20.0,106.560,106.560
22.7.2024,"5.879,00",,,"5.918,99","0,00",0.0,0,0
19.7.2024,"5.879,00","5.919,00","5.879,00","5.918,99","0,61",82.779,489.968.101,489.968.101
18.7.2024,"5.883,00","5.883,00","5.883,00","5.883,00","9,99",1.651,9.712.833,9.712.833
17.7.2024,"5.390,00","5.390,00","4.899,00","5.348,65","9,16",475.0,2.540.610,2.540.610
16.7.2024,"4.900,00",,,"4.900,00","0,00",0.0,0,0
15.7.2024,"4.900,00","4.900,00","4.900,00","4.900,00","0,10",20.0,98.000,98.000
12.7.2024,"4.895,00",,,"4.895,00","0,00",0.0,0,0
