Date,LastTransaction,Max,Min,Avg,%Prom,Amount,BEST,Total
08.11.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
07.11.2024,"3.610,00","3.610,00","3.610,00","3.610,00","0,00",10.0,36.100,36.100
06.11.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
05.11.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
04.11.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
01.11.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
31.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
30.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
29.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
28.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
25.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
24.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
22.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
21.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
18.10.2024,"3.610,00","3.610,00","3.610,00","3.610,00","0,00",64.0,231.040,231.040
17.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
16.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
15.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
14.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
10.10.2024,"3.610,00","3.610,00","3.610,00","3.610,00","0,00",21.0,75.810,75.810
09.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
08.10.2024,"3.610,00","3.610,00","3.610,00","3.610,00","0,00",22.0,79.420,79.420
07.10.2024,"3.610,00","3.610,00","3.610,00","3.610,00","0,00",8.0,28.880,28.880
04.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
03.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
02.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
01.10.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
30.9.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
27.9.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
26.9.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
25.9.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
24.9.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
23.9.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,106.780.674
20.9.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
19.9.2024,"3.610,00",,,"3.610,00","0,00",0.0,0,0
18.9.2024,"3.610,00","3.610,00","3.610,00","3.610,00","0,28",41.0,148.010,148.010
17.9.2024,"3.600,00",,,"3.600,00","0,00",0.0,0,0
16.9.2024,"3.600,00",,,"3.600,00","0,00",0.0,0,0
13.9.2024,"3.600,00","3.600,00","3.600,00","3.600,00","0,00",8.0,28.800,106.809.474
12.9.2024,"3.600,00",,,"3.600,00","0,00",0.0,0,0
11.9.2024,"3.600,00",,,"3.600,00","0,00",0.0,0,0
10.9.2024,"3.600,00",,,"3.600,00","0,00",0.0,0,0
06.9.2024,"3.600,00",,,"3.600,00","0,00",0.0,0,0
05.9.2024,"3.600,00",,,"3.600,00","0,00",0.0,0,0
04.9.2024,"3.600,00",,,"3.600,00","0,00",0.0,0,0
03.9.2024,"3.600,00",,,"3.600,00","0,00",0.0,0,0
02.9.2024,"3.600,00",,,"3.600,00","0,00",0.0,0,0
30.8.2024,"3.600,00","3.600,00","3.600,00","3.600,00","1,41",10.0,36.000,36.000
29.8.2024,"3.550,00",,,"3.550,00","0,00",0.0,0,0
27.8.2024,"3.550,00",,,"3.550,00","0,00",0.0,0,0
