,0
0,ADIN
1,ALK
2,ALKB
3,AMEH
4,APTK
5,ATPP
6,AUMK
7,BANA
8,BGOR
9,BIKF
10,BIM
11,BLTU
12,CBNG
13,CDHV
14,CEVI
15,CKB
16,CKBKO
17,DEBA
18,DIMI
19,EDST
20,ELMA
21,ELNC
22,ENER
23,ENSA
24,EUHA
25,EUMK
26,EVRO
27,FAKM
28,FERS
29,FKTL
30,FROT
31,FUBT
32,GALE
33,GDKM
34,GECK
35,GECT
36,GIMS
37,GRDN
38,GRNT
39,GRSN
40,GRZD
41,GTC
42,GTRG
43,IJUG
44,INB
45,INHO
46,INOV
47,INPR
48,INTP
49,JAKO
50,JUSK
51,KARO
52,KDFO
53,KJUBI
54,KKST
55,KLST
56,KMB
57,KMPR
58,KOMU
59,KONF
60,KONZ
61,KORZ
62,KPSS
63,KULT
64,KVAS
65,LAJO
66,LHND
67,LOTO
68,LOZP
69,MAGP
70,MAKP
71,MAKS
72,MB
73,MERM
74,MKSD
75,MLKR
76,MODA
77,MPOL
78,MPT
79,MPTE
80,MTUR
81,MZHE
82,MZPU
83,NEME
84,NOSK
85,OBPP
86,OILK
87,OKTA
88,OPFO
89,OPTK
90,ORAN
91,OSPO
92,OTEK
93,PELK
94,PGGV
95,PKB
96,POPK
97,PPIV
98,PROD
99,PROT
100,PTRS
101,RADE
102,REPL
103,RIMI
104,RINS
105,RZEK
106,RZIT
107,RZIZ
108,RZLE
109,RZLV
110,RZTK
111,RZUG
112,RZUS
113,SBT
114,SDOM
115,SIL
116,SKON
117,SKP
118,SLAV
119,SNBT
120,SNBTO
121,SOLN
122,SPAZ
123,SPAZP
124,SPOL
125,SSPR
126,STB
127,STBP
128,STIL
129,STOK
130,TAJM
131,TBKO
132,TEAL
133,TEHN
134,TEL
135,TETE
136,TIKV
137,TKPR
138,TKVS
139,TNB
140,TRDB
141,TRPS
142,TRUB
143,TSMP
144,TSZS
145,TTK
146,TTKO
147,UNI
148,USJE
149,VARG
150,VFPM
151,VITA
152,VROS
153,VSC
154,VTKS
155,ZAS
156,ZILU
157,ZILUP
158,ZIMS
159,ZKAR
160,ZPKO
161,ZPOG
162,ZUAS
